field_label,field_key,field_type,field_selection,field_limit,field_lovs,form,ddh_machine_name,microdata_library,mdlib_section,mdlib_field,mdlib_json_field,tid
Resource Type - upload,fileuploadResourceType,list,,,Guideline Document,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,Help Document,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,Infographic,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,Learning Material,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,License,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,Manual and Guideline Document,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,Memorandum of Understanding (MOU),Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,Metadata,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,Methodology Documents,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,Mobile app,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,News Release or Announcement,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,Other,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,Presentation,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,Preview file,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,Query Tool,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,Survey,Basic,,,,,,
Resource Type - upload,fileuploadResourceType,list,,,Terms of Reference,Basic,,,,,,
File Title,fileuploadTitle,text,,,,Basic,,,,,,
Description of file,fileurlBody,text,,,,Basic,,,,,,
Format,fileurlDocumentType,list,,,APF,Basic,,,,,,
Format,fileurlDocumentType,list,,,CSV,Basic,,,,,,
Format,fileurlDocumentType,list,,,CSV ZIP,Basic,,,,,,
Format,fileurlDocumentType,list,,,DOC,Basic,,,,,,
Format,fileurlDocumentType,list,,,Excel,Basic,,,,,,
Format,fileurlDocumentType,list,,,Excel Zip,Basic,,,,,,
Format,fileurlDocumentType,list,,,GDB,Basic,,,,,,
Format,fileurlDocumentType,list,,,GeoJSON,Basic,,,,,,
Format,fileurlDocumentType,list,,,GeoTiff,Basic,,,,,,
Format,fileurlDocumentType,list,,,GIF,Basic,,,,,,
Format,fileurlDocumentType,list,,,HTML,Basic,,,,,,
Format,fileurlDocumentType,list,,,JPEG,Basic,,,,,,
Format,fileurlDocumentType,list,,,JSON,Basic,,,,,,
Format,fileurlDocumentType,list,,,KML,Basic,,,,,,
Format,fileurlDocumentType,list,,,Other,Basic,,,,,,
Format,fileurlDocumentType,list,,,PDF,Basic,,,,,,
